arm,round,proposed,intercepted,interception_rate,reachability,hard_retained,constraints,backlog
A_conflating,0,0,0,0.0,1.0,1.0,0,0
A_conflating,1,8,4,0.5,1.0,0.0,1,0
A_conflating,2,5,0,0.0,1.0,0.0,1,0
A_conflating,3,5,0,0.0,1.0,0.0,1,0
A_conflating,4,5,0,0.0,1.0,0.0,1,0
A_conflating,5,5,0,0.0,1.0,0.0,1,0
A_conflating,6,5,0,0.0,1.0,0.0,1,0
B_separated,0,0,0,0.0,1.0,1.0,0,0
B_separated,1,8,4,0.5,1.0,0.0,1,0
B_separated,2,5,0,0.0,1.0,0.0,1,0
B_separated,3,5,0,0.0,1.0,0.0,1,0
B_separated,4,5,0,0.0,1.0,0.0,1,0
B_separated,5,5,0,0.0,1.0,0.0,1,0
B_separated,6,5,0,0.0,1.0,0.0,1,0
