# condition,main
# eligible,yes
# verdict,fabricated -> reject,5
# verdict,valid_easy -> pass,5
# verdict,valid_hard -> unresolved,5
# note,rows below are data; lines starting with # are provenance
arm,round,proposed,intercepted,interception_rate,reachability,hard_retained,constraints,backlog
A_conflating,0,0,0,0.0,1.0,1.0,0,0
A_conflating,1,8,3,0.375,0.5,0.0,2,0
A_conflating,2,5,0,0.0,0.5,0.0,2,0
A_conflating,3,5,0,0.0,0.5,0.0,2,0
A_conflating,4,5,0,0.0,0.5,0.0,2,0
A_conflating,5,5,0,0.0,0.5,0.0,2,0
A_conflating,6,5,0,0.0,0.5,0.0,2,0
B_separated,0,0,0,0.0,1.0,1.0,0,0
B_separated,1,8,3,0.375,1.0,1.0,1,1
B_separated,2,8,4,0.5,1.0,1.0,1,1
B_separated,3,8,4,0.5,1.0,1.0,1,1
B_separated,4,8,3,0.375,1.0,1.0,1,1
B_separated,5,8,4,0.5,1.0,1.0,1,1
B_separated,6,8,4,0.5,1.0,1.0,1,1
